id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
11,"Paprika Oleoresin 20,000 CU",Paprika Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (TDS.Specif. PP 60 asta ST hot 20.000 shu-rev. 3.pdf).,Concentration / Grade Variant (Same Application),"Paprika Oleoresin 100,000 CU; Paprika Oleoresin 1000; Paprika Oleoresin 1001; Paprika Oleoresin 1002; Paprika Oleoresin 1003; Paprika Oleoresin 1004; Paprika Oleoresin 1005; Paprika Oleoresin 1006; Paprika Oleoresin 1007; Paprika Oleoresin 1008; Paprika Oleoresin 1009; Paprika Oleoresin 1010; Paprika Oleoresin 1011; Paprika Oleoresin 1012; Paprika Oleoresin 1013; Paprika Oleoresin 1014; Paprika Oleoresin 1015; Paprika Oleoresin 1016; Paprika Oleoresin 1017; Paprika Oleoresin 1018; Paprika Oleoresin 1019; Paprika Oleoresin 1020; Paprika Oleoresin 1021; Paprika Oleoresin 1022; Paprika Oleoresin 1023; Paprika Oleoresin 40,000 CU; Paprika Oleoresin 40,000 CU OS; Paprika Oleoresin 40,000 CU WS; Paprika Oleoresin 60,000 CU; Paprika Oleoresin 80,000 CU",TDS.Specif. PP 60 asta ST hot 20.000 shu-rev. 3.pdf,Paprika Powder,AWA Food Additives,AWA Food Solutions,,12 months,"Colour: 60 ASTA units min.; Capsaicin Content: 20,000 s.h.u min.; Moisture content: 12% max.; Total ash: 8,5 % max.",Capsicum annuum L and Capsicum frutescens L.,"Multilayered paper sacks or interwoven plastic sacks with blue polypropylene liner, 25 kg weight on shrinkwrapped pallets.","Cool, Dark and dry place",None declared,Fine red powder,Paprika Powder manufactured by Evesa.
12,Technical Data Sheet of Natural red color,Technical Data Sheet of Natural red color,Meat & Poultry,Processed Meat,Emulsified Sausages,Heat- and light-stable vivid cured pink-to-red hue in frankfurters and sausages.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Technical Data Sheet of Natural red color.pdf).,Single Product,None,Technical Data Sheet of Natural red color.pdf,Natural Red Color,AWA Food Additives,AWA Food Solutions,,2 years,Appearance: Red top purplish-red powder; Granularity: 90 % pass 150 mesh sifter; Moisture: ≤10%; ColorValue: 1000~4000u/g; HeavyMetal(Pb): ≤1ppm; As: ≤1ppm; Yeast: ≤25cfu/g; Mold: ≤25cfu/g; AflatoxinB: ≤5.0ppb; TotalPlate: ≤5000cfu/g; E.coli: ≤30cfu/g; PathogenicBacteria: Absence,100% Natural red color,"20 kgs/carton, 25 kgs/bag",Dry and sealed storage,,Red top purplish-red powder,"Natural Red Color manufactured by Wuhan Jiacheng Biotechnology Co., Ltd, used in meat Products, Ketchup, Sauce, etc."
13,Tex Mono 160,Tex Emulsifiers (Mono & Diglycerides),Bakery,Cake & Bakery,Sponge Cake / Muffin,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Bakery ➔ Cake & Bakery ➔ Sponge Cake / Muffin | [TDS Status]: Fully verified against authentic Technical Data Sheet (Tex Mono 160-.pdf).,Single Product,None,Tex Mono 160-.pdf,Emulsifier,AWA Food Solutions,AWA Food Solutions,Based on product recipe,24 months from production date,Total Monoglyceride (%): Min 60; Acid Value (KOH/g): 3.00 max; Iodine Value (g/100g): 3.00 max; Melting Point (°C): 60 – 70; Free Glycerol (%): 1.00 max; Free Acids (%): 3.00 max,Mono & Diglycerides E-471,25 kg: S. Code: 80036; 5 kg: S. Code: N/A; 1 kg: S. Code: N/A,Stored in dry place away from direct sunlight,None declared,Creamy – white powder,"Emulsifier manufactured by AWA Foodsolutions, used in table margarine; bakery margarines and shortenings; ice cream and imitation creams; chewing gum; cheese products."
14,Textra Bake C 10,Textra Bakery & Leavening Systems,Bakery,Pastry,Croissant / Laminated Pastry,"Strengthens gluten matrix, improves dough extensibility, and provides flaky crumb lamination.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Bakery ➔ Pastry ➔ Croissant / Laminated Pastry | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra Bake C 10 -TDS.PDF).,Application-Specific Variant (Different Applications),Textra Baking 100; Textra Baking 150,Textra Bake C 10 -TDS.PDF,Dough Improver,AWA Food Solutions,AWA Food Solutions,1 % of flour weight,9 months from date of Manufacturing,moisture content: Max.10 %; pH: 4.00- 6.00; total plate count: Max. 103 cfu/g; yeasts and molds: Max. 10² cfu/g; coliform: < 10 cfu/g; salmonella: Negative,"Wheat flour, Wheat Gluten, Acidity Regulators(E300,E330), Enzyme, Emulsifiers: (E471, E481), Anti-caking agent (E551)",Paper sacks with polyethylene liner 10 Kg and 25Kg,"Store in a cool, Dry location. Keep containers well closed when not in use.",Contains: Wheat gluten,"Free-flowing, Fine powder, Off-white","Dough Improver, used in croissant manufacture."
15,Textra Baking 100,Textra Bakery & Leavening Systems,Bakery,Cake & Bakery,Sponge Cake / Muffin,Engineered double-acting chemical leavening blend ensuring controlled CO2 release for maximum batter volume.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Bakery ➔ Cake & Bakery ➔ Sponge Cake / Muffin | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra Baking 100.pdf).,Application-Specific Variant (Different Applications),Textra Bake C 10; Textra Baking 150,Textra Baking 100.pdf,Leavening Agent,AWA Food Solutions,AWA Food Solutions,18gm of Textra Baking 100 to 500gm flour,18 months from date of production,appearance: powder; color: White-Off white; moisture: Max. 13%; microbiological > total plate count: Max. 500 cfu/g; microbiological > yeast and mold: Max. 100 cfu/g; microbiological > coliform: < 10 cfu/g; microbiological > e.coli: Absent,Sodium acid pyrophosphate E450; Sodium Bicarbonate E500; Corn starch,Paper sacks with polyethylene liner,Store in a dry place away from heat and humidity,None declared,Powder,"Leavening Agent, used in bakery products like cakes, cookies and biscuits."
16,Textra Baking 150,Textra Bakery & Leavening Systems,Bakery,Cake & Bakery,Sponge Cake / Muffin,Engineered double-acting chemical leavening blend ensuring controlled CO2 release for maximum batter volume.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Bakery ➔ Cake & Bakery ➔ Sponge Cake / Muffin | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra Baking 150.pdf).,Application-Specific Variant (Different Applications),Textra Bake C 10; Textra Baking 100,Textra Baking 150.pdf,Modified Starch,AWA Food Solutions,AWA Food Solutions,12 gm of Textra Baking 150 / 500 gm of flour,18 months,moisture: Max. 13%; water vol: Min 350 ml,Sodium acid pyrophosphate E450; Sodium Bicarbonate E500; Corn starch; Mono calcium phosphate E341,Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity,None declared,,"Modified Starch, used in cakes; Muffins; Biscuits; Donuts."
17,Textra CM 110,Textra Dairy & Ice Cream Stabilizers,Bakery,Cake & Bakery,Sponge Cake / Muffin,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Bakery ➔ Cake & Bakery ➔ Sponge Cake / Muffin | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra CM 110-.pdf).,Application-Specific Variant (Different Applications),Textra CM ICE 200ⓩ; Textra CM Ice 200 ⓢ,Textra CM 110-.pdf,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,AWA Food Solutions,0.65 - 0.9 % depending on the desired texture,24 months from production date,Loss on drying Max. 12%,CMC E-466; Guar Gum E-412; Emulsifier E-471,"25 kg Heavy duty bags, 5 kg Heavy duty bags, 1 kg Heavy duty bags","Should be stored away from aromatic products, Under conditions not exceeding 25 °C and 70% atmospheric humidity",None declared,Creamy to white powder,"Blend of Food Grade Stabilizers & Emulsifier manufactured by awa-foodsolutions.com, used in ice cream manufacturing."
18,Corn Starch-Local-25kg,Corn Starch-Local-25kg,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,"Delivers freeze-thaw stability, high shear resistance, glossy sheen, and smooth texture.",No,Yes,R&D Validated,Approved (TDS Verified),"[Taxonomy Aligned]: Sauces, Condiments & Dressings ➔ Tomato & Table Sauces ➔ Ketchup & BBQ Sauces | [TDS Status]: Fully verified against authentic Technical Data Sheet (TDS Starch.jpg).",Single Product,None,TDS Starch.jpg,Corn Starch,AWA Food Additives,AWA Food Solutions,,,"Moisture 14% max, T.Protein 0.6% max, Ash 0.4% max, Fats 0.5% max",Corn Starch,"25 kg bags (also available in 750 kg, 850 kg, 1-ton bags)","Store in cool, Dry place below 20°C; RH below 60%; Keep on pallets away from chemicals and direct sunlight",None declared,Pure white,"Corn Starch manufactured by National Co. For Maize Products, used in food thickener."
19,Antifoam LPD,Antifoam Compounds,Beverages,Processing & Bottling,Carbonated Bottling & Juice Degassing,Rapid foam knockdown during carbonated beverage bottling and thermal fruit juice processing.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Beverages ➔ Processing & Bottling ➔ Carbonated Bottling & Juice Degassing | [TDS Status]: Fully verified against authentic Technical Data Sheet (Antifoam LPD.PDF).,Application-Specific Variant (Different Applications),ANTIFOAM COMPOUND; Antifoam,Antifoam LPD.PDF,Antifoam,AWA Food Additives,AWA Food Solutions,5 to 25 ppm,12 months,"appearance: Yellowish, clear liquid; density: approx. 0.9 g/cm3; solubility: not miscible; viscosity: approx. 360 mPa•s; flash point: > 100 °C; freezing point: approx. -20 °C",Polyalkoxylates; Fatty acid esters,Plastic containers: 1 kg and 5 kg,Store in cool place away from direct sunlight,None declared,"Yellowish, Clear liquid","Antifoam, used in dairy products; Potato processing and starch industry."
23,Fell 120 R,Fell 120 R,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Fell 120 R.PDF).,Single Product,None,Fell 120 R.PDF,Fell 120 R,AWA Food Solutions,AWA Food Solutions,2 – 5% according to the final product recipe,2 years from date of production,moisture content: Max 6%; ash: 3.7 : 4.5 %,Vegetable Protein; Filling Material (Carbohydrate),Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity,,Creamy to white powder,"Fell 120 R, used in white Cheese; Processed Cheese."
24,Fell 120 RX,Fell 120 RX,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Fell 120 RX.PDF).,Single Product,None,Fell 120 RX.PDF,Filler,AWA Food Solutions,AWA Food Solutions,2 – 5% according to the final product recipe,2 years from date of production,moisture: Max 6%,Vegetable Protein; Filling Material (Carbohydrates),Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Filler, used in cheese industry; White Cheese; Processed Cheese."
25,Feta 341,Textra Cheese Stabilizers,Dairy,Cheese,White Cheese / Feta,"Enhances curd firmness, optimizes slicing integrity, improves yield, and binds moisture stably during refrigerated brine aging.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese ➔ White Cheese / Feta | [TDS Status]: Fully verified against authentic Technical Data Sheet (Feta 341.pdf).,Application-Specific Variant (Different Applications),Feta 400; Textra Feta 152; Textra Feta 341; Textra Feta 400,Feta 341.pdf,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,AWA Food Solutions,0.3 – 0.5% depending on protein amount,24 months from production date,pH: 6.5 – 7.5; loss on drying: Max. 15%,Carrageenan E-407; Guar Gum E-412; Emulsifiers E-471; Arabic gum E-414; Modified E-1422; Potato starch; Salt,"Heavy duty bags, 20 kg",Store in a dry place away from direct sunlight,None declared,Creamy to white powder,"Blend of Food Grade Stabilizers & Emulsifier, used in low protein feta cheese."
26,Feta 400,Textra Cheese Stabilizers,Dairy,Cheese,Triangular Processed Cheese,Specialized texturizer and emulsification stabilizer to prevent fat separation and eliminate oiling-off in portioned foil triangles.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese ➔ Triangular Processed Cheese | [TDS Status]: Fully verified against authentic Technical Data Sheet (Feta 400 TDS.pdf).,Application-Specific Variant (Different Applications),Feta 341; Textra Feta 152; Textra Feta 341; Textra Feta 400,Feta 400 TDS.pdf,"Modified Starch, Emulsifier, Carrageenan",AWA Food Solutions,AWA Food Solutions,0.3– 0.5% depending on protein,24 months from production date,pH: 10:12; Lossondrying: Max. 8%; TotalPlateCount: Max. 5000 cfu/g; Yeastand Mold: Max 500 cfu/g; Coliform: <10 cfu/g; E.coli: Absent,Carrageenan E407; Guar Gum E412; Emulsifiers E471; Arabic gum E414; Modified Potato starch E1422; Salt,Papersacks with polyethylene liner 25kg,Store in a dry place away from direct sunlight,None declared,Creamy white powder,"Modified Starch, Emulsifier, Carrageenan, used in lowprotein Feta cheese."
27,Meat Tenderizer,Meat Tenderizer,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages & Restructured Meat | [TDS Status]: Fully verified against authentic Technical Data Sheet (Impro Meat.pdf).,Single Product,None,Impro Meat.pdf,Unique Filler of Natural Ingredients,AWA Food Additives,AWA Food Solutions,3-8% for frozen meat,12 months,moisture: ≤10.0%; protein: Max. 20%; fiber: Min. 65%,Vegetable Origin Fibers,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,,"Unique Filler of Natural Ingredients, used in meat Products."
28,Ingreva RevaStab MC100,Textra / Revastab Meat & Gelling Blends,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Ingreva RevaStab MC100 TDS.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Ingreva RevaStab MC100 TDS.pdf,Raw Material,AWA Food Additives,Ingreva,,2 years,"particle size: >250μm(60 mesh) ≤3.0%; viscosity: 2000-5500 (2.6% solution, mPa.s); residue on ignition: 6.0 maximum (%); loss on drying: 8.0 maximum (%); pH value: 6.0-8.0 (2.6% solution)",Microcrystalline cellulose E460; Carboxymethyl cellulose E466,Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity.,None declared,"White or pale yellowish powder, Odorless and tasteless","Raw Material, used in food processing applications."
29,Ingreva RevaStab MCG,Textra / Revastab Meat & Gelling Blends,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Ingreva RevaStab MCG TDS.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Ingreva RevaStab MCG TDS.pdf,Stabilizer System,AWA Food Additives,Ingreva,0.3 – 0.5%,2 years,pH: 7±1; viscosity: Min 100cPs at 25°C (1%); moisture content: Max 10%; ash: Max 5%,Carrageenan E407; Guar gum E412,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Stabilizer System, used in processed Cheese."
