material_id,material_name,product_family,tds_found,industry_level_1,category_level_2,application_level_3,is_primary_application,application_function_details,validation_status
16,Textra Baking 150,Textra Bakery & Leavening Systems,Yes,Bakery,Cake & Bakery,Sponge Cake / Muffin,Yes,Engineered double-acting chemical leavening blend ensuring controlled CO2 release for maximum batter volume.,R&D Validated
17,Textra CM 110,Textra Dairy & Ice Cream Stabilizers,Yes,Bakery,Cake & Bakery,Sponge Cake / Muffin,Yes,"Promotes rapid batter aeration, fine crumb structure, moisture retention, and anti-staling softness.",R&D Validated
17,Textra CM 110,Textra Dairy & Ice Cream Stabilizers,Yes,Dairy,Butter & Margarine,Table / Industrial Margarine,No,Stabilizes water-in-oil emulsion and controls crystal morphology in shortenings and table spreads.,R&D Validated
17,Textra CM 110,Textra Dairy & Ice Cream Stabilizers,Yes,Dairy,Frozen Dairy,Ice Cream & Frozen Desserts,No,"Promotes fat agglomeration, improves extrusion stiffness, and retards ice crystal growth.",R&D Validated
18,Corn Starch-Local-25kg,Corn Starch-Local-25kg,Yes,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,Yes,"Delivers freeze-thaw stability, high shear resistance, glossy sheen, and smooth texture.",R&D Validated
18,Corn Starch-Local-25kg,Corn Starch-Local-25kg,Yes,Dairy,Fermented Dairy,Yogurt,No,Provides spoonable thickness and creaminess without syneresis.,R&D Validated
18,Corn Starch-Local-25kg,Corn Starch-Local-25kg,Yes,Bakery,Pastry Fillings,Bake-Stable Jams & Pie Fillings,No,Bake-stable body builder in fruit custards and fillings.,R&D Validated
19,Antifoam LPD,Antifoam Compounds,Yes,Beverages,Processing & Bottling,Carbonated Bottling & Juice Degassing,Yes,Rapid foam knockdown during carbonated beverage bottling and thermal fruit juice processing.,R&D Validated
19,Antifoam LPD,Antifoam Compounds,Yes,Dairy,Reconstitution & Milk Processing,Reconstituted Milk & Whey Processing,No,Suppresses foam formation during high-shear milk powder reconstitution and whey separation.,R&D Validated
19,Antifoam LPD,Antifoam Compounds,Yes,"Sauces, Condiments & Dressings",Sauces & Starch Cooking,Ketchup & Starch Washing,No,"Bubble suppression during sauce cooking, starch gelatinization, and potato washing.",R&D Validated
23,Fell 120 R,Fell 120 R,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
23,Fell 120 R,Fell 120 R,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
24,Fell 120 RX,Fell 120 RX,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
24,Fell 120 RX,Fell 120 RX,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
25,Feta 341,Textra Cheese Stabilizers,Yes,Dairy,Cheese,White Cheese / Feta,Yes,"Enhances curd firmness, optimizes slicing integrity, improves yield, and binds moisture stably during refrigerated brine aging.",R&D Validated
26,Feta 400,Textra Cheese Stabilizers,Yes,Dairy,Cheese,Triangular Processed Cheese,Yes,Specialized texturizer and emulsification stabilizer to prevent fat separation and eliminate oiling-off in portioned foil triangles.,R&D Validated
26,Feta 400,Textra Cheese Stabilizers,Yes,Dairy,Cheese,Spreadable Processed Cheese,No,Delivers smooth velvety spreadability and emulsion stability in glass jars and plastic tubs.,R&D Validated
27,Meat Tenderizer,Meat Tenderizer,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages & Restructured Meat,Yes,"Optimizes meat protein binding, cured color fixation, texture cross-linking, and shelf-life extension in sausages, luncheon, and beef pastrami.",R&D Validated
28,Ingreva RevaStab MC100,Textra / Revastab Meat & Gelling Blends,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
28,Ingreva RevaStab MC100,Textra / Revastab Meat & Gelling Blends,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
29,Ingreva RevaStab MCG,Textra / Revastab Meat & Gelling Blends,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
29,Ingreva RevaStab MCG,Textra / Revastab Meat & Gelling Blends,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
30,Ingreva RevaStab MCV,Textra / Revastab Meat & Gelling Blends,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
30,Ingreva RevaStab MCV,Textra / Revastab Meat & Gelling Blends,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
32,NRC 600,NRC 600,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
32,NRC 600,NRC 600,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
33,NRC500,NRC500,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
33,NRC500,NRC500,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
34,NRC600,NRC600,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
34,NRC600,NRC600,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
35,NRE 1400H,NRE 1400H,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
35,NRE 1400H,NRE 1400H,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
36,NRE1400,NRE1400,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
36,NRE1400,NRE1400,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
37,NRE1600,NRE1600,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
37,NRE1600,NRE1600,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
40,Phos 10,Phos 10,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
40,Phos 10,Phos 10,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
41,Phos 11,Phos 11,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
41,Phos 11,Phos 11,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
42,Phos 8,Phos 8,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
42,Phos 8,Phos 8,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
43,Phos AC04,Phos AC04,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
43,Phos AC04,Phos AC04,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
44,Phos B200,Phos B200,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
44,Phos B200,Phos B200,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
45,Phos B250,Phos B250,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
45,Phos B250,Phos B250,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
46,Phos B300,Phos B300,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
46,Phos B300,Phos B300,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
47,Phos B350,Phos B350,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
47,Phos B350,Phos B350,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
48,Phos CR116,Phos CR116,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
48,Phos CR116,Phos CR116,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
49,Phos CR120,Phos CR120,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
49,Phos CR120,Phos CR120,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
50,Phos KC12,Phos KC12,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
50,Phos KC12,Phos KC12,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
51,Phos MSL400,Phos MSL400,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
51,Phos MSL400,Phos MSL400,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
52,Phos MSL440,Phos MSL440,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
52,Phos MSL440,Phos MSL440,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
53,Phos MSL500,Phos MSL500,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
53,Phos MSL500,Phos MSL500,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
54,Phos MU100,Phos MU100,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
54,Phos MU100,Phos MU100,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
55,Phos MU200,Phos MU200,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
55,Phos MU200,Phos MU200,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
56,Phos MU300,Phos MU300,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
56,Phos MU300,Phos MU300,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
57,Phos SP101,Phos SP101,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
57,Phos SP101,Phos SP101,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
58,Phos SP102,Phos SP102,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
58,Phos SP102,Phos SP102,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
59,Phos SP120,Phos SP120,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
59,Phos SP120,Phos SP120,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
60,Phos SP122,Phos SP122,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
60,Phos SP122,Phos SP122,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
61,Phos SP125,Phos SP125,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
61,Phos SP125,Phos SP125,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
62,Phos SP130,Phos SP130,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
62,Phos SP130,Phos SP130,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
63,Phos SP135,Phos SP135,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
63,Phos SP135,Phos SP135,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
64,Phos SP140,Phos SP140,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
64,Phos SP140,Phos SP140,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
65,Phos SP145,Phos SP145,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
65,Phos SP145,Phos SP145,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
66,Phos SP152,Phos SP152,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
66,Phos SP152,Phos SP152,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
67,Phos SP154,Phos SP154,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
67,Phos SP154,Phos SP154,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
68,Phos SP227,Phos SP227,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
68,Phos SP227,Phos SP227,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
69,Phos-BS,Phos-BS,Yes,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,Yes,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",R&D Validated
69,Phos-BS,Phos-BS,Yes,Dairy,Cheese,Processed Cheese Melting Salts,No,Chelates calcium ions to convert insoluble paracasein into smooth emulsifying protein matrix in processed cheese slices and blocks.,R&D Validated
70,RevaStab ID 15 - Copy,RevaStab ID 15 - Copy,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
